anarchistencomplot;-;K
andersgekleurde;-;K
andersgekleurden;-;F
andesgier;-;K
angejiddeld;-;K
angiosperm;-;K
angisa;-;K
angostura;-;K
angstdenken;-;K
angstverminderend;-;K
angstverminderende;-;F
anijstablet;-;K
ankerknoop;-;K
anlaut;-;K
annalenschool;-;K
anno Domini;-;K
anorexia-nervosapatiënt;-;K
antennewoud;-;K
antiabortuswetgeving;-;K
antialcoholcampagne;-;K
antiapartheidsorganisatie;-;K
antiapartheidsstrijder;-;K
antiastmamiddel;-;K
antibeweging;-;K
antiblafband;-;K
antibolsjewistisch;-;K
antibotsingslicht;-;K
antiburgerlijkheid;-;K
anticonceptiemethode;-;K
anticonceptiepleister;-;K
anticorruptiecommissie;-;K
anticrisismaatregel;-;K
anticrisisprogramma;-;K
antidatering;-;K
antidiscriminatiebepaling;-;K
antidiscriminatieregeling;-;K
antidrugsbrigade;-;K
antidrugseenheid;-;K
antidumpheffing;-;K
antidumpingheffing;-;K
antidumpingmaatregel;-;K
antifilm;-;K
antigevoel;-;K
antiguerrillaoorlog;-;K
antiheldin;-;K
antihervormingsgezinde;-;K
antihoestmiddel;-;K
antihouding;-;K
antihumor;-;K
anti-inflatiebeleid;-;K
anti-inflationair;-;K
anti-inflatoir;-;K
antikartelbeleid;-;K
antikernenergie;-;K
antikernenergielobby;-;K
antiklopmiddel;-;K
antikoloniaal;-;K
antikraakwacht;-;K
antikraakwetgeving;-;K
antikraker;-;K
antikunst;-;K
antilobby;-;K
antilopejacht;-;K
antimaffiacommissie;-;K
antimaffiapolitie;-;K
antimarketing;-;K
antimigrantenpartij;-;K
antimilitair;-;K
antimisdaadwet;-;K
antimodel;-;K
antimodernisme;-;K
antimuggenspray;-;K
antinarcoticabrigade;-;K
antioproerpolitie;-;K
antiorangist;-;K
antiparallel;-;K
antipoëzie;-;K
antipoliticus;-;K
antipubliciteit;-;K
antiquarenbeurs;-;K
antiracismebeweging;-;K
antiraketwapen;-;K
antiretour;-;K
antiroman;-;K
antirooklobby;-;K
antiroosshampoo;-;K
antisandinistisch;-;K
antisatellietwapen;-;K
antischipraket;-;K
antischool;-;K
antispeculatie;-;K
antistemming;-;K
antistollingsbehandeling;-;K
antitankgeweer;-;K
antitankgranaat;-;K
antitankhelikopter;-;K
antitankkanon;-;K
antiterreurbrigade;-;K
antiterreurgroep;-;K
antiterrorismeteam;-;K
antitheater;-;K
antitype;-;K
anti-Vietnamdemonstratie;-;K
antivoetbal;-;K
antivrouw;-;K
antoniusvarken;-;K
antoniuszwijn;-;K
antonpieckachtig;-;K
antropobiologie;-;K
AOV'er;-;K
apachedans;-;K
Apachedansen;-;H
apachetraan;-;K
apinti;-;K
apneusyndroom;-;K
aposteldag;-;K
apothekerscoöperatie;-;K
apparaatinstelling;-;K
apparaatinstellingen;-;F
apparaatsuitgaven;-;K
apparatsjik;-;K
appelepap;-;K
appelwang;-;K
Aprilbeweging;-;K
aquariumgebouw;-;K
arabica;-;K
arabicakoffie;-;K
Arabisch-Palestijns;-;K
Arabisch-Palestijnse;-;F
aramidevezel;-;K
arbeidersassociatie;-;K
arbeidershulp;-;K
arbeidsconferentie;-;K
arbeidsgezondheidskundig;-;K
arbeidskost;-;K
arbeidsleer;-;K
arbeidsonbekwaamheid;-;K
arbeidsongeschiktheidsverzekeringsmaatschappij;-;K
arbeidspartijleider;-;K
arbeidsvoorwaardenbesluit;-;K
arbitrageaankoop;-;K
arbomedewerker;-;K
archeofyt;-;K
archievenkamer;-;K
architectenvereniging;-;K
Ardenner ham;-;K
Ardense hesp;-;K
arendsvaren;-;K
arganvrucht;-;K
ariërverklaring;-;K
aritmetiek;-;K
armengoed;-;K
armoedje;-;K
armoeiig;-;K
armoelijder;-;K
arnhemmer;-;V
AROB-rechter;-;K
Arowak;-;K
